CustomerKey;GeographyKey;FullName;Age;MaritalStatus;Gender;YearlyIncome;IncomeCat;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwner;NumberCarsOwned;YearsSinceFirstPurchase;CloseToStore
11046;6;Christine Yuan;66;Married;Female;30000;Very High;3;0;High School;Skilled Manual;Yes;2;3;Yes
11047;34;Jaclyn D. Lu;66;Married;Female;30000;Very High;3;0;High School;Skilled Manual;No;2;3;Yes
11048;39;Jeremy Powell;65;Married;Male;30000;Very High;3;0;High School;Skilled Manual;Yes;2;3;Yes
11049;307;Carol C. Rai;35;Single;Female;40000;Average;0;0;Partial High School;Clerical;Yes;2;1;Yes
11050;31;Alan Zheng;64;Married;Male;30000;Very High;3;0;High School;Skilled Manual;Yes;2;3;Yes
11051;21;Daniel Johnson;64;Single;Male;30000;Very High;3;0;High School;Skilled Manual;No;2;1;Yes
11052;8;Heidi Lopez;64;Single;Female;40000;Average;2;0;Partial College;Clerical;No;2;3;Yes
11053;359;Ana E. Price;35;Married;Female;60000;Average;0;0;Partial College;Skilled Manual;No;2;1;Yes
11054;34;Deanna Munoz;64;Married;Female;40000;Average;2;0;Partial College;Skilled Manual;Yes;2;3;Yes
11055;22;Gilbert Raje;64;Married;Male;40000;Average;2;0;Partial College;Skilled Manual;Yes;2;3;Yes
11056;10;Michele L. Nath;63;Married;Female;40000;Average;3;0;Partial College;Skilled Manual;Yes;2;3;Yes
11057;5;Carl J. Andersen;51;Married;Male;70000;High;2;0;Graduate Degree;Management;Yes;2;3;Yes
11058;29;Marc Diaz;56;Married;Male;80000;High;2;0;Partial College;Skilled Manual;Yes;2;3;Yes
11059;27;Ashlee J. Andersen;62;Single;Female;80000;High;2;0;Partial College;Skilled Manual;Yes;2;1;Yes
11060;40;Jon L. Zhou;62;Married;Male;80000;High;2;0;Partial College;Skilled Manual;Yes;2;3;Yes
11061;23;Todd M. Gao;45;Married;Male;80000;High;2;0;Partial College;Skilled Manual;Yes;2;3;Yes
11062;547;Noah D. Powell;40;Married;Male;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11063;634;Angela Murphy;41;Single;Female;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11064;315;Chase Reed;40;Married;Male;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11065;331;Jessica Henderson;42;Married;Female;60000;Average;0;0;Partial College;Skilled Manual;No;2;1;Yes
11066;543;Grace T. Butler;42;Married;Female;70000;High;0;0;Partial College;Professional;Yes;2;1;Yes
11067;632;Caleb F. Carter;39;Single;Male;60000;Average;0;0;Partial College;Professional;Yes;2;1;Yes
11068;40;Tiffany Liang;55;Single;Female;80000;High;2;0;High School;Skilled Manual;Yes;2;1;Yes
11069;23;Carolyn Navarro;55;Single;Female;80000;High;2;0;High School;Skilled Manual;No;2;3;Yes
11070;39;Willie T. Raji;61;Married;Male;80000;High;2;0;High School;Skilled Manual;Yes;2;3;Yes
11071;24;Linda Serrano;61;Single;Female;80000;High;2;0;High School;Skilled Manual;Yes;2;1;Yes
11072;17;Casey Luo;61;Single;Female;80000;High;2;0;High School;Skilled Manual;No;2;3;Yes
11073;16;Amy Ye;59;Single;Female;70000;High;2;0;High School;Skilled Manual;Yes;2;1;Yes
11074;28;Levi A. Arun;59;Single;Male;70000;High;2;0;High School;Skilled Manual;Yes;2;1;Yes
11075;32;Felicia L. Jimenez;58;Single;Female;80000;High;2;0;High School;Professional;Yes;2;3;Yes
11076;19;Blake Anderson;58;Single;Male;80000;High;2;0;High School;Professional;Yes;2;3;Yes
11077;36;Leah Ye;58;Single;Female;80000;High;2;0;High School;Professional;No;2;3;Yes
11078;49;Gina E. Martin;36;Single;Female;40000;Average;0;0;High School;Professional;No;2;1;Yes
11079;34;Donald Gonzalez;51;Single;Male;160000;Very High;0;0;Graduate Degree;Management;Yes;2;1;Yes
11080;30;Damien Chander;56;Married;Male;170000;Very High;0;0;Graduate Degree;Management;Yes;2;3;Yes
11081;311;Savannah C. Baker;49;Married;Female;120000;Very High;2;2;Bachelors;Management;Yes;3;1;Yes
11082;322;Angela L. Butler;49;Single;Female;130000;Very High;0;1;Graduate Degree;Management;No;3;1;Yes
11083;336;Alyssa F. Cox;44;Married;Female;130000;Very High;0;1;Graduate Degree;Management;Yes;3;1;Yes
11084;543;Lucas Phillips;58;Single;Male;80000;High;2;0;Partial High School;Skilled Manual;No;2;1;Yes
11085;345;Emily Johnson;58;Single;Female;60000;Average;2;0;High School;Professional;No;2;1;Yes
11086;369;Ryan Brown;58;Married;Male;70000;High;2;1;Partial College;Professional;Yes;0;1;Yes
11087;307;Tamara L. Liang;58;Married;Female;70000;High;3;2;Partial College;Professional;No;0;1;Yes
11088;359;Hunter Davis;58;Married;Male;80000;High;2;1;Bachelors;Management;Yes;0;1;Yes
11089;337;Abigail M. Price;59;Single;Female;80000;High;2;1;Bachelors;Management;Yes;1;2;Yes
11090;338;Trevor Bryant;53;Single;Male;90000;High;2;0;Partial College;Professional;Yes;1;3;Yes
11091;50;Dalton Perez;59;Married;Male;90000;High;2;0;Partial College;Professional;Yes;1;1;Yes
11092;22;Cheryl A. Diaz;49;Married;Female;90000;High;2;2;Bachelors;Professional;Yes;0;3;Yes
11093;19;Aimee A. He;43;Married;Female;100000;Very High;0;0;Graduate Degree;Management;Yes;0;3;Yes
11094;33;Cedric W. Ma;54;Single;Male;70000;High;1;0;Partial College;Skilled Manual;No;1;1;Yes
11095;13;Chad Kumar;53;Single;Male;70000;High;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11096;12;Andrés Anand;53;Married;Male;60000;Average;1;0;Bachelors;Professional;Yes;1;3;Yes
11097;40;Edwin R. Nara;49;Married;Male;60000;Average;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11098;14;Mallory S. Rubio;55;Single;Female;60000;Average;1;0;Partial College;Skilled Manual;No;1;1;Yes
11099;13;Adam Ross;55;Married;Male;60000;Average;1;0;Bachelors;Professional;Yes;1;3;Yes
11100;28;Latasha L. Navarro;55;Single;Female;60000;Average;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11101;33;Abby L. Sai;51;Single;Female;70000;High;0;0;Bachelors;Professional;No;1;3;Yes
11102;18;Julia L. Nelson;51;Single;Female;80000;High;5;5;Bachelors;Professional;Yes;4;1;Yes
11103;3;Cassie Chande;40;Single;Female;70000;High;0;0;Bachelors;Professional;Yes;1;3;Yes
11104;23;Edgar A. Sara;46;Married;Male;70000;High;0;0;Bachelors;Professional;No;1;3;Yes
11105;8;Candace Fernandez;51;Single;Female;70000;High;0;0;Bachelors;Professional;No;1;3;Yes
11106;40;Jessie Liu;51;Single;Male;70000;High;0;0;Bachelors;Professional;No;1;3;Yes
11107;17;Bianca Lin;45;Married;Female;90000;High;1;0;Bachelors;Professional;Yes;1;3;Yes
11108;13;Kari C. Alvarez;52;Single;Female;70000;High;0;0;Bachelors;Professional;No;2;3;Yes
11109;38;Ruben D. Kapoor;41;Single;Male;70000;High;0;0;Bachelors;Professional;No;2;3;Yes
11110;3;Curtis Yang;54;Married;Male;60000;Average;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11111;34;Meredith T. Gutierrez;54;Married;Female;60000;Average;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11112;25;Crystal C. Wang;53;Married;Female;60000;Average;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11113;30;Micheal A. Blanco;48;Married;Male;70000;High;5;4;Bachelors;Professional;Yes;2;1;Yes
11114;14;Leslie C. Moreno;54;Single;Female;70000;High;5;4;Partial College;Skilled Manual;Yes;2;1;Yes
11115;17;Alvin D. Cai;54;Married;Male;70000;High;5;4;Partial College;Skilled Manual;Yes;2;1;Yes
11116;18;Clinton E. Carlson;42;Married;Male;70000;High;5;4;Partial College;Skilled Manual;Yes;2;1;Yes
11117;8;April Deng;55;Married;Female;70000;High;5;4;Partial College;Skilled Manual;Yes;3;3;No
11118;6;Alvin M. Zeng;59;Single;Male;80000;High;1;0;Partial College;Skilled Manual;No;1;1;Yes
11119;13;Evan V. James;81;Single;Male;30000;Very High;2;0;Partial College;Clerical;No;2;1;Yes
11120;18;Beth H. Jiménez;79;Single;Female;40000;Average;2;0;Bachelors;Management;Yes;1;3;Yes
11121;10;Orlando Suarez;55;Married;Male;70000;High;5;4;Partial College;Skilled Manual;Yes;3;1;No
11122;12;Byron Vazquez;56;Married;Male;70000;High;5;4;Partial College;Skilled Manual;Yes;3;1;Yes
11123;39;Philip A. Alvarez;56;Married;Male;70000;High;5;4;Partial College;Skilled Manual;Yes;3;1;No
11124;40;Ross F. Jordan;53;Single;Male;80000;High;1;0;Partial College;Skilled Manual;Yes;1;3;Yes
11125;37;Dana J. Navarro;60;Single;Female;70000;High;1;0;Partial College;Skilled Manual;Yes;1;1;Yes
11126;11;Shaun Carson;67;Married;Male;10000;Low;2;1;High School;Skilled Manual;No;2;3;Yes
11127;361;Jan Edwards;40;Married;Female;40000;Average;0;0;High School;Skilled Manual;Yes;1;1;Yes
11128;635;Samantha Long;40;Married;Female;40000;Average;0;0;High School;Skilled Manual;Yes;1;1;Yes
11129;638;Julia M. Wright;40;Single;Female;40000;Average;0;0;High School;Skilled Manual;Yes;1;3;Yes
11130;543;Caroline L. Russell;36;Married;Female;30000;Very High;0;0;High School;Skilled Manual;Yes;2;1;Yes
11131;50;Amanda Rivera;36;Married;Female;30000;Very High;0;0;High School;Skilled Manual;No;2;1;Yes
11132;51;Melissa E. Richardson;35;Single;Female;30000;Very High;0;0;High School;Skilled Manual;No;2;1;Yes
11133;542;Angela Griffin;35;Single;Female;30000;Very High;0;0;Partial High School;Clerical;No;2;1;Yes
11134;30;Larry D. Townsend;64;Single;Male;10000;Low;5;0;High School;Skilled Manual;Yes;2;3;Yes
11135;302;Marcus L. Harris;36;Single;Male;30000;Very High;0;0;Partial High School;Clerical;No;2;1;Yes
11136;53;Brianna D. Morgan;37;Single;Female;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11137;641;Jasmine A. Taylor;37;Married;Female;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11138;325;Lauren Davis;37;Married;Female;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11139;28;Tanya Moreno;72;Single;Female;30000;Very High;2;0;Partial College;Clerical;No;2;1;Yes
11140;301;Javier L. Alvarez;39;Single;Male;30000;Very High;0;0;Partial High School;Clerical;No;2;1;Yes
11141;314;Nicole Ramirez;39;Married;Female;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11142;51;Eduardo Patterson;38;Single;Male;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11143;334;Jonathan M. Henderson;39;Married;Male;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11144;607;Edward Hernandez;36;Single;Male;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11145;536;Jasmine L. Coleman;36;Single;Female;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11146;8;Karla L. Goel;76;Single;Female;40000;Average;2;0;Bachelors;Management;Yes;2;1;Yes
11147;40;Ernest L. Wu;77;Married;Male;60000;Average;2;0;Graduate Degree;Management;Yes;1;3;Yes
11148;22;Ross Vazquez;74;Married;Male;40000;Average;2;0;Bachelors;Management;Yes;2;1;Yes
11149;25;Theodore Gill;75;Married;Male;40000;Average;2;0;Bachelors;Management;Yes;2;1;Yes
11150;39;Russell M. Shen;75;Single;Male;40000;Average;2;0;Bachelors;Management;Yes;2;1;Yes
11151;18;Melinda G. Gill;74;Single;Female;60000;Average;2;0;Graduate Degree;Management;No;1;3;Yes
11152;633;James J. Williams;40;Single;Male;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11153;635;Angela R. James;40;Married;Female;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11154;553;Megan G. Walker;39;Single;Female;40000;Average;0;0;Partial College;Skilled Manual;Yes;1;1;Yes
11155;301;Hunter J. Robinson;40;Single;Male;40000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11156;334;Maria Roberts;40;Single;Female;40000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11157;642;Hannah E. Long;41;Married;Female;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11158;361;Jason K. Wright;40;Single;Male;40000;Average;0;0;High School;Skilled Manual;Yes;2;1;Yes
11159;385;Brianna A. Hughes;40;Single;Female;40000;Average;0;0;High School;Skilled Manual;No;2;1;Yes
11160;311;Maurice M. Tang;42;Single;Male;40000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11161;311;Emily Wood;42;Single;Female;40000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11162;331;Chase Cox;42;Single;Male;40000;Average;0;0;Partial College;Skilled Manual;Yes;1;1;Yes
11163;372;Gabriel Wang;41;Married;Male;40000;Average;0;0;Partial College;Skilled Manual;Yes;1;1;Yes
11164;374;Devin Brooks;42;Single;Male;40000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11165;348;Jocelyn Alexander;42;Married;Female;60000;Average;0;0;Partial College;Skilled Manual;No;1;1;Yes
11166;631;Ashley Martinez;44;Single;Female;70000;High;0;0;Partial College;Skilled Manual;No;2;1;Yes
11167;618;Jasmine J. Barnes;43;Single;Female;80000;High;0;0;Bachelors;Management;No;1;1;Yes
11168;348;David Rodriguez;48;Single;Male;80000;High;0;0;Bachelors;Management;No;1;1;Yes
11169;312;Bryce Richardson;48;Married;Male;90000;High;4;4;Bachelors;Management;Yes;1;1;Yes
11170;612;Carol T. Howard;48;Married;Female;90000;High;4;4;Bachelors;Management;Yes;1;1;Yes
11171;385;Jonathan E. Hill;43;Single;Male;100000;Very High;1;0;Bachelors;Management;Yes;2;3;Yes
11172;626;Gabrielle J. Adams;48;Married;Female;100000;Very High;1;0;Bachelors;Management;Yes;2;1;Yes
11173;552;Sarah F. Thomas;48;Single;Female;110000;Very High;0;0;Graduate Degree;Management;No;4;1;Yes
11174;338;Nicholas Robinson;48;Married;Male;110000;Very High;0;1;Graduate Degree;Management;Yes;0;1;Yes
11175;300;Luis Wang;53;Single;Male;70000;High;0;0;Partial College;Skilled Manual;Yes;2;3;Yes
11176;50;Mason D. Roberts;42;Married;Male;90000;High;4;4;Bachelors;Management;Yes;1;1;Yes
11177;359;Jose M. Flores;73;Married;Male;110000;Very High;2;4;Graduate Degree;Management;Yes;2;1;Yes
11178;334;Nathan J. Johnson;67;Married;Male;100000;Very High;2;3;Graduate Degree;Management;Yes;3;1;Yes
11179;300;Molly E. Rodriguez;62;Married;Female;120000;Very High;2;4;Graduate Degree;Management;Yes;3;1;Yes
11180;307;April Anand;73;Married;Female;160000;Very High;1;3;Bachelors;Management;Yes;4;1;Yes
11181;338;Devin P. Martin;61;Married;Male;170000;Very High;2;3;Graduate Degree;Management;Yes;2;1;Yes
11182;638;Stephanie Torres;71;Single;Female;70000;High;4;0;Bachelors;Management;Yes;2;1;No
11183;368;Jasmine W. Lee;71;Single;Female;70000;High;4;0;Bachelors;Management;Yes;2;1;No
11184;311;Meghan Hernandez;66;Single;Female;70000;High;4;0;Bachelors;Management;Yes;2;1;No
11185;53;Ashley Henderson;71;Single;Female;70000;High;4;0;Bachelors;Management;Yes;2;1;No
11186;352;Sarah C. Price;72;Single;Female;70000;High;4;0;Bachelors;Management;Yes;2;1;No
11187;612;Jennifer S. Cooper;72;Married;Female;60000;Average;4;0;Graduate Degree;Management;Yes;2;1;No
11188;361;Catherine Morris;71;Married;Female;60000;Average;4;0;Graduate Degree;Management;No;2;1;Yes
11189;609;Lawrence W. Blanco;71;Single;Male;60000;Average;4;0;Graduate Degree;Management;Yes;2;3;No
11190;300;Carson Bryant;72;Married;Male;70000;High;5;0;Bachelors;Management;Yes;2;1;No
11191;310;Kristi E. Perez;70;Single;Female;70000;High;5;0;Bachelors;Management;Yes;3;3;No
11192;637;James C. Brown;70;Married;Male;60000;Average;4;0;Bachelors;Management;Yes;2;1;Yes
11193;553;Ian A. Gray;71;Married;Male;60000;Average;4;0;Bachelors;Management;Yes;2;1;Yes
11194;352;Jacqueline R. Price;71;Married;Female;60000;Average;4;0;Bachelors;Management;Yes;2;1;Yes
11195;635;Megan Henderson;70;Married;Female;60000;Average;5;0;Bachelors;Management;Yes;3;1;No
11196;536;Alfredo Romero;70;Married;Male;60000;Average;5;0;Bachelors;Management;Yes;3;1;No
11197;637;Andrea Morris;70;Married;Female;70000;High;3;1;Bachelors;Management;No;1;1;Yes
11198;368;Brooke Sanders;69;Single;Female;70000;High;4;1;Bachelors;Management;Yes;1;1;No
11199;302;Jacqueline Bennett;64;Married;Female;70000;High;4;1;Bachelors;Management;Yes;1;1;No
11200;69;Jason L. Griffin;68;Married;Male;70000;High;4;1;Bachelors;Management;Yes;1;1;Yes
11201;369;Amanda Foster;68;Married;Female;70000;High;4;1;Bachelors;Management;Yes;1;1;No
11202;334;Alexia L. Price;63;Married;Female;80000;High;5;0;Bachelors;Management;No;2;1;Yes
11203;60;Luis D. Diaz;62;Married;Male;40000;Average;2;1;High School;Professional;Yes;2;1;No
11204;536;Destiny C. Rivera;68;Married;Female;40000;Average;2;1;High School;Professional;Yes;2;1;Yes
11205;612;Abby Fernandez;67;Married;Female;40000;Average;2;1;High School;Professional;Yes;2;1;No
11206;626;Blake Flores;67;Married;Male;60000;Average;2;1;Partial College;Professional;Yes;1;1;No
11207;635;Danielle Cox;67;Single;Female;60000;Average;2;1;Partial College;Professional;Yes;1;1;No
11208;325;Maria Reed;68;Married;Female;60000;Average;2;1;Bachelors;Management;Yes;0;1;No
11209;336;Allison Evans;68;Married;Female;60000;Average;2;1;Bachelors;Management;Yes;0;1;No
11210;383;Edward J. Wood;68;Married;Male;70000;High;4;1;Partial College;Professional;Yes;2;1;No
11211;50;Samantha Russell;61;Married;Female;40000;Average;2;1;High School;Professional;Yes;2;1;Yes
11212;53;Chloe Campbell;66;Married;Female;40000;Average;2;1;High School;Professional;Yes;2;1;Yes
11213;614;Stephanie B. Murphy;67;Single;Female;60000;Average;2;1;Partial College;Professional;Yes;2;1;No
11214;545;Charles O. Miller;66;Single;Male;60000;Average;2;1;Partial College;Professional;Yes;2;1;No
11215;62;Ana Perry;60;Married;Female;40000;Average;2;1;Partial High School;Skilled Manual;Yes;2;1;No
11216;547;Jasmine A. Torres;66;Single;Female;60000;Average;2;1;Partial College;Professional;Yes;2;3;No
11217;547;Natalie P. Adams;66;Single;Female;60000;Average;2;1;Partial College;Professional;Yes;2;3;No
11218;642;Olivia Brown;60;Single;Female;60000;Average;2;1;Partial College;Professional;No;2;1;Yes
11219;553;Charles Cook;65;Married;Male;60000;Average;2;1;High School;Professional;Yes;2;1;No
11220;310;Erica C. Huang;60;Married;Female;60000;Average;2;1;Partial College;Professional;Yes;1;1;No
11221;334;Nathan Perry;66;Married;Male;70000;High;4;2;Partial College;Professional;Yes;1;1;Yes
11222;369;Alexandra Rivera;65;Married;Female;80000;High;3;1;Bachelors;Management;Yes;1;1;Yes
11223;52;Hailey I. Patterson;64;Single;Female;70000;High;2;1;High School;Professional;Yes;2;1;Yes
11224;612;Tiffany J. Li;64;Single;Female;70000;High;2;1;High School;Professional;Yes;2;3;No
11225;635;Madison D. Lee;59;Married;Female;60000;Average;2;1;Partial College;Professional;Yes;1;1;No
11226;552;Sydney T. Ross;59;Married;Female;60000;Average;2;1;Partial College;Professional;Yes;1;1;Yes
11227;310;Marshall D. Chavez;59;Single;Male;60000;Average;2;1;Partial College;Professional;Yes;2;3;No
11228;316;Ashley R. Jones;65;Married;Female;60000;Average;2;1;Partial College;Professional;Yes;2;1;No
11229;355;Adrian C. Stewart;64;Single;Male;70000;High;4;2;Partial College;Professional;Yes;1;1;No
11230;369;Amber Turner;65;Married;Female;70000;High;4;2;Partial College;Professional;No;2;1;Yes
11231;611;Dennis Zhang;58;Married;Male;60000;Average;2;1;High School;Professional;Yes;2;1;No
11232;616;Hailey R. Bryant;63;Married;Female;60000;Average;3;1;High School;Professional;No;2;1;Yes
11233;299;Todd Li;58;Married;Male;70000;High;4;2;Partial College;Professional;Yes;2;1;No
11234;337;Anna Griffin;63;Single;Female;70000;High;4;2;Partial College;Professional;Yes;2;1;No
11235;607;Angel J. Stewart;64;Married;Male;70000;High;4;2;Partial College;Professional;Yes;2;1;No
11236;609;Jeremy Butler;64;Single;Male;70000;High;5;2;Partial College;Professional;Yes;2;1;No
11237;161;Clarence M. Anand;57;Single;Male;130000;Very High;2;3;Bachelors;Management;No;4;3;Yes
11238;232;Mayra Prasad;57;Single;Female;130000;Very High;2;3;Bachelors;Management;No;4;3;Yes
11239;249;Latoya C. Goel;52;Married;Female;130000;Very High;2;4;Partial College;Professional;No;2;3;Yes
11240;273;Anne B. Hernandez;57;Married;Female;160000;Very High;2;3;Partial College;Professional;Yes;4;3;Yes
11241;211;Lisa Cai;47;Single;Female;100000;Very High;2;3;Partial College;Professional;Yes;4;2;Yes
11242;209;Larry Munoz;58;Married;Male;110000;Very High;2;4;Partial College;Professional;Yes;3;2;Yes
11243;237;Robin V. Alvarez;58;Married;Female;150000;Very High;2;3;Partial College;Professional;Yes;3;3;Yes
11244;267;Alexis M. Coleman;53;Single;Female;170000;Very High;2;3;Bachelors;Management;No;3;3;Yes
11245;132;Ricky D. Vazquez;59;Married;Male;120000;Very High;3;4;High School;Professional;No;4;3;Yes
11246;147;Latasha Rubio;59;Married;Female;120000;Very High;3;4;High School;Professional;No;4;3;Yes
11247;242;Claudia M. Zhou;60;Single;Female;130000;Very High;3;4;Partial College;Professional;No;3;3;Yes
11248;223;Tristan P. Alexander;55;Married;Male;110000;Very High;3;4;Partial College;Professional;Yes;4;1;No
11249;178;Cindy A. Patel;55;Married;Female;130000;Very High;3;4;Partial College;Professional;Yes;3;3;Yes
11250;276;Shannon D. Liu;55;Married;Female;170000;Very High;3;4;High School;Professional;Yes;2;3;Yes
11251;50;Xavier Long;83;Single;Male;30000;Very High;4;0;High School;Professional;No;2;1;Yes
11252;335;Nicholas D. Thompson;84;Single;Male;90000;High;3;0;Graduate Degree;Management;Yes;1;3;Yes
11253;69;José M. Hernandez;72;Married;Male;60000;Average;2;0;Graduate Degree;Management;Yes;2;1;Yes
11254;612;Johnathan W. Vance;83;Married;Male;70000;High;4;0;Graduate Degree;Management;Yes;2;1;Yes
11255;612;Colin Lin;83;Married;Male;70000;High;4;0;Graduate Degree;Management;Yes;2;1;Yes
